input_id,input_url
1,https://www.yelp.com/biz/mamahuhu-san-francisco-2
2,https://www.yelp.com/biz/mamahuhu-mill-valley
3,https://www.yelp.com/biz/mamahuhu-san-francisco-3
4,https://www.yelp.com/biz/mamahuhu-san-francisco-4
5,https://www.yelp.com/biz/vive-la-tarte-san-francisco-5
6,https://www.yelp.com/biz/pancake-boy-san-francisco
7,https://www.yelp.com/biz/novy-restaurant-san-francisco-6
8,https://www.yelp.com/biz/la-boulangerie-de-san-francisco-san-francisco-33
9,https://www.yelp.com/biz/noe-bagel-san-francisco
